Cost,County,hour,minute,am/pm,Time
65,NY,0,13,A,13
115,NY,0,13,A,13
65,NY,0,13,A,13
115,NY,0,13,A,13
65,NY,0,13,A,13
65,NY,0,13,A,13
115,NY,0,13,A,13
115,NY,0,13,A,13
165,NY,0,13,A,13
115,NY,0,13,A,13
115,NY,0,13,A,13
65,NY,0,14,A,14
65,NY,0,14,A,14
65,NY,0,14,A,14
115,NY,0,14,A,14
65,NY,0,14,A,14
115,NY,0,14,A,14
65,NY,0,14,A,14
65,NY,0,14,A,14
115,NY,0,14,A,14
115,NY,0,14,A,14
115,NY,0,14,A,14
95,NY,0,14,A,14
65,NY,0,14,A,14
115,NY,0,14,A,14
65,NY,0,14,A,14
65,NY,0,14,A,14
65,NY,0,14,A,14
115,NY,0,14,A,14
115,NY,0,14,A,14
115,NY,0,14,A,14
115,NY,0,14,A,14
115,NY,0,14,A,14
115,NY,0,14,A,14
115,NY,0,14,A,14
115,NY,0,14,A,14
95,NY,0,14,A,14
65,NY,0,14,A,14
65,NY,0,14,A,14
65,NY,0,14,A,14
65,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
65,NY,0,15,A,15
65,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
65,NY,0,15,A,15
65,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
65,NY,0,15,A,15
115,NY,0,15,A,15
115,NY,0,15,A,15
65,NY,0,16,A,16
115,NY,0,16,A,16
60,NY,0,16,A,16
115,NY,0,16,A,16
65,NY,0,16,A,16
65,NY,0,16,A,16
65,NY,0,16,A,16
115,NY,0,16,A,16
115,NY,0,16,A,16
65,NY,0,16,A,16
115,NY,0,16,A,16
65,NY,0,16,A,16
115,NY,0,16,A,16
115,NY,0,16,A,16
65,NY,0,16,A,16
65,NY,0,16,A,16
115,NY,0,16,A,16
65,NY,0,16,A,16
65,NY,0,16,A,16
115,NY,0,16,A,16
115,NY,0,16,A,16
115,NY,0,16,A,16
115,NY,0,16,A,16
65,NY,0,16,A,16
65,NY,0,16,A,16
65,NY,0,17,A,17
65,NY,0,17,A,17
115,NY,0,17,A,17
65,NY,0,17,A,17
115,NY,0,17,A,17
65,NY,0,17,A,17
65,NY,0,17,A,17
65,NY,0,17,A,17
115,NY,0,17,A,17
60,NY,0,17,A,17
115,NY,0,17,A,17
115,NY,0,17,A,17
115,NY,0,17,A,17
65,NY,0,17,A,17
65,NY,0,17,A,17
65,NY,0,17,A,17
65,NY,0,18,A,18
65,NY,0,18,A,18
60,NY,0,18,A,18
65,NY,0,18,A,18
65,NY,0,18,A,18
60,NY,0,18,A,18
65,NY,0,18,A,18
65,NY,0,18,A,18
65,NY,0,18,A,18
65,NY,0,18,A,18
65,NY,0,18,A,18
115,NY,0,18,A,18
115,NY,0,18,A,18
65,NY,0,18,A,18
115,NY,0,18,A,18
115,NY,0,18,A,18
115,NY,0,18,A,18
115,NY,0,18,A,18
115,NY,0,19,A,19
115,NY,0,19,A,19
65,NY,0,19,A,19
65,NY,0,19,A,19
65,NY,0,19,A,19
65,NY,0,19,A,19
65,NY,0,19,A,19
65,NY,0,19,A,19
65,NY,0,19,A,19
65,NY,0,19,A,19
65,NY,0,19,A,19
115,NY,0,19,A,19
115,NY,0,19,A,19
115,NY,0,19,A,19
115,NY,0,19,A,19
65,NY,0,19,A,19
65,NY,0,19,A,19
115,NY,0,19,A,19
115,NY,0,19,A,19
60,NY,0,19,A,19
60,NY,0,19,A,19
65,NY,0,19,A,19
65,NY,0,19,A,19
60,NY,0,19,A,19
65,NY,0,20,A,20
115,NY,0,20,A,20
65,NY,0,20,A,20
65,NY,0,20,A,20
115,NY,0,20,A,20
115,NY,0,20,A,20
115,NY,0,20,A,20
65,NY,0,20,A,20
115,NY,0,20,A,20
115,NY,0,20,A,20
115,NY,0,20,A,20
65,NY,0,20,A,20
115,NY,0,20,A,20
65,NY,0,20,A,20
115,NY,0,20,A,20
165,NY,0,20,A,20
65,NY,0,20,A,20
115,NY,0,20,A,20
65,NY,0,20,A,20
65,NY,0,20,A,20
115,NY,0,20,A,20
65,NY,0,20,A,20
115,NY,0,20,A,20
65,NY,0,20,A,20
115,NY,0,20,A,20
115,NY,0,20,A,20
115,NY,0,20,A,20
65,NY,0,20,A,20
115,NY,0,21,A,21
65,NY,0,21,A,21
65,NY,0,21,A,21
115,NY,0,21,A,21
115,NY,0,21,A,21
115,NY,0,21,A,21
115,NY,0,21,A,21
115,NY,0,21,A,21
65,NY,0,21,A,21
65,NY,0,21,A,21
115,NY,0,21,A,21
65,NY,0,21,A,21
115,NY,0,21,A,21
115,NY,0,21,A,21
65,NY,0,21,A,21
65,NY,0,21,A,21
65,NY,0,21,A,21
65,NY,0,21,A,21
65,NY,0,21,A,21
115,NY,0,22,A,22
115,NY,0,22,A,22
115,NY,0,22,A,22
95,NY,0,22,A,22
65,NY,0,22,A,22
65,NY,0,22,A,22
65,NY,0,22,A,22
65,NY,0,22,A,22
115,NY,0,22,A,22
65,NY,0,22,A,22
65,NY,0,22,A,22
65,NY,0,22,A,22
115,NY,0,22,A,22
115,NY,0,22,A,22
65,NY,0,22,A,22
115,NY,0,22,A,22
115,NY,0,22,A,22
115,NY,0,23,A,23
115,NY,0,23,A,23
60,NY,0,23,A,23
115,NY,0,23,A,23
65,NY,0,23,A,23
115,NY,0,23,A,23
95,NY,0,23,A,23
115,NY,0,23,A,23
65,NY,0,23,A,23
65,NY,0,23,A,23
65,NY,0,23,A,23
115,NY,0,23,A,23
115,NY,0,23,A,23
65,NY,0,23,A,23
65,NY,0,23,A,23
115,NY,0,23,A,23
115,NY,0,23,A,23
115,NY,0,23,A,23
60,NY,0,23,A,23
115,NY,0,23,A,23
